Stu,False,5325,ART,314,ADVANCED PAINTING,3,M,0400 - 0645 pm,Cox S,2305 (MAIN),14-JAN-13,-1,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Stu,False,5328,ART,340,ADVANCED CERAMICS,3,M,0700 - 0945 pm,Orcutt Z,0020B (MAIN),14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5331,ART,360,CONTEMPORARY ART HISTORY,3,T R,0200 - 0315 pm,Cox S,2537 (MAIN),14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5375,BIOL,101,GENERAL BIOLOGY 1,3,M W,0930 - 1045 am,Hempel U,1314 (MAIN),14-JAN-13,3,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5376,BIOL,101,GENERAL BIOLOGY 1,3,M,0700 - 0945 pm,Hempel U,3303 (MAIN),14-JAN-13,5,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5377,BIOL,101,GENERAL BIOLOGY 1,3,T R,0500 - 0615 pm,Funk K,3303 (MAIN),14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5378,BIOL,101,GENERAL BIOLOGY 1,3,,*,Martin H,,14-JAN-13,-3,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
Lec,False,5385,BIOL,101,GENERAL BIOLOGY 1,3,M W,0500 - 0615 pm,Dew N,3336 (MAIN),14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5386,BIOL,102,GENERAL BIOLOGY 2,3,M W,0930 - 1045 am,Martin H,3324 (MAIN),14-JAN-13,-2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5387,BIOL,102,GENERAL BIOLOGY 2,3,M W,1230 - 0145 pm,Dew N,3324 (MAIN),14-JAN-13,14,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5389,BIOL,102,GENERAL BIOLOGY 2,3,T R,1230 - 0145 pm,Hempel U,0102A (MAIN),14-JAN-13,20,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5391,BIOL,102,GENERAL BIOLOGY 2,3,W,0700 - 0945 pm,Dew N,3324 (MAIN),14-JAN-13,14,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5393,BIOL,102,GENERAL BIOLOGY 2,3,,*,Hempel U,,14-JAN-13,5,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
Lab,False,5394,BIOL,103,GENERAL BIOLOGY 1 LAB,1,R,0930 - 1125 am,Hempel U,3324 (MAIN),14-JAN-13,8,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5395,BIOL,103,GENERAL BIOLOGY 1 LAB,1,R,1200 - 0155 pm,Martin H,3324 (MAIN),14-JAN-13,4,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5396,BIOL,103,GENERAL BIOLOGY 1 LAB,1,R,0700 - 0855 pm,Funk K,3324 (MAIN),14-JAN-13,4,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5397,BIOL,103,GENERAL BIOLOGY 1 LAB,1,F,0900 - 1055 am,Hempel U,3324 (MAIN),14-JAN-13,12,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5398,BIOL,103,GENERAL BIOLOGY 1 LAB,1,,*,Martin H,,14-JAN-13,6,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
Lab,False,5634,BIOL,103,GENERAL BIOLOGY 1 LAB,1,W,0430 - 0625 pm,Martin H,3324 (MAIN),14-JAN-13,12,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5399,BIOL,104,GENERAL BIOLOGY 2 LAB,1,M,0230 - 0425 pm,Dew N,3324 (MAIN),14-JAN-13,12,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5400,BIOL,104,GENERAL BIOLOGY 2 LAB,1,M,0700 - 0855 pm,Dew N,3324 (MAIN),14-JAN-13,18,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5402,BIOL,104,GENERAL BIOLOGY 2 LAB,1,T,0930 - 1125 am,Martin H,3324 (MAIN),14-JAN-13,0,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5404,BIOL,104,GENERAL BIOLOGY 2 LAB,1,T,1230 - 0225 pm,Dew N,3324 (MAIN),14-JAN-13,16,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5405,BIOL,104,GENERAL BIOLOGY 2 LAB,1,T,0300 - 0455 pm,Dew N,3324 (MAIN),14-JAN-13,20,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5407,BIOL,104,GENERAL BIOLOGY 2 LAB,1,,*,Hempel U,,14-JAN-13,15,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
Lec,False,5411,BIOL,107,ANATOMY AND PHYSIOLOGY 1,4,M W,1230 - 0145 pm,Griffin M,3303 (MAIN),14-JAN-13,-4,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5412,BIOL,107,ANATOMY AND PHYSIOLOGY 1,4,T R,1230 - 0145 pm,Griffin M,3303 (MAIN),14-JAN-13,-5,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5413,BIOL,107L,ANATOMY AND PHYSIOLOGY 1 LAB,0,M,0900 - 1055 am,Griffin M,3335 (MAIN),14-JAN-13,-2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5414,BIOL,107L,ANATOMY AND PHYSIOLOGY 1 LAB,0,R,0900 - 1055 am,Griffin M,3335 (MAIN),14-JAN-13,-1,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5416,BIOL,107L,ANATOMY AND PHYSIOLOGY 1 LAB,0,T,0400 - 0555 pm,Kronberg J,3335 (MAIN),14-JAN-13,4,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5417,BIOL,108,ANATOMY AND PHYSIOLOGY 2,4,M W,1230 - 0145 pm,Kronberg J,3335 (MAIN),14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5418,BIOL,108,ANATOMY AND PHYSIOLOGY 2,4,M W,0200 - 0315 pm,Kronberg J,3335 (MAIN),14-JAN-13,4,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5419,BIOL,108,ANATOMY AND PHYSIOLOGY 2,4,T R,1230 - 0145 pm,Kronberg J,3335 (MAIN),14-JAN-13,1,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5420,BIOL,108L,ANATOMY AND PHYSIOLOGY 2 LAB,0,W,0900 - 1055 am,Kronberg J,3335 (MAIN),14-JAN-13,0,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5422,BIOL,108L,ANATOMY AND PHYSIOLOGY 2 LAB,0,T,0200 - 0355 pm,Kronberg J,3335 (MAIN),14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5424,BIOL,108L,ANATOMY AND PHYSIOLOGY 2 LAB,0,R,0200 - 0355 pm,Kronberg J,3335 (MAIN),14-JAN-13,-1,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5439,BIOL,110,MICROBIOLOGY FOR SURG TECH,3,M W,1230 - 0120 pm,Martin H,1318 (MAIN),14-JAN-13,11,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5440,BIOL,110L,MICROBIOLOGY FOR SURG TECH LAB,0,W,0200 - 0355 pm,Martin H,3324 (MAIN),14-JAN-13,11,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5441,BIOL,200,MICROBIOLOGY,4,T R,0300 - 0415 pm,Griffin M,3303 (MAIN),14-JAN-13,7,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5442,BIOL,200L,MICROBIOLOGY LAB,0,T,0900 - 1055 am,Griffin M,3335 (MAIN),14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5443,BIOL,200L,MICROBIOLOGY LAB,0,W,0330 - 0525 pm,Griffin M,3335 (MAIN),14-JAN-13,5,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5444,BIOL,461,PRINCIPLES OF EVOLUTION,3,R,0430 - 0745 pm,Crisp E,3336 (MAIN),14-JAN-13,16,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Alt,False,5544,BTEC,115,BEGINNING KEYBOARDING,3,M,0700 - 0815 pm,Cunningham R,0414B (MAIN),14-JAN-13 <br> (18-FEB-13) <br> (18-MAR-13) <br> (29-APR-13),14,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5545,BTEC,115,BEGINNING KEYBOARDING,3,,*,Cunningham R,,14-JAN-13,-1,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5546,BTEC,116,INTERMEDIATE KEYBOARDING,3,,*,Favinger C,,14-JAN-13,7,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5517,BTEC,235,MICROSOFT WORD/WINDOWS,3,,*,Thomas C,,14-JAN-13,6,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
